System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,GRShort,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_2.1,510,4,2,1,2.1,4_3,43,1982,510,1985,39315,1.3,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1983,0,1984,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_1.1,24062,3,1,1,1.1,3_2,32,1983,24062,1985,121493,19.81,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1984,0,1985,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1979,0,1983,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1980,0,1982,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1980,0,1983,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1980,0,1984,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1981,0,1982,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1981,0,1983,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1981,0,1984,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1981,0,1985,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1982,0,1983,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_1.3,2611,5,1,3,1.3,5_2,52,1982,2611,1984,39315,6.64,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_2.2,12805,5,2,2,2.2,5_3,53,1982,12805,1985,39315,32.57,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1982,0,1986,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1983,0,1984,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_1.2,76905,4,1,2,1.2,4_2,42,1983,76905,1985,121493,63.3,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_2.1,1673,4,2,1,2.1,4_3,43,1983,1673,1986,121493,1.38,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1984,0,1985,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_1.1,22999,3,1,1,1.1,3_2,32,1984,22999,1986,90540,25.4,NA,NA
Columbia River,Bonneville Lock & Dam,1987,116993,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1985,0,1986,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1980,0,1984,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1981,0,1983,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1981,0,1984,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1981,0,1985,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1982,0,1983,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1982,0,1984,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1982,0,1985,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1982,0,1986,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1983,0,1984,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_1.3,13259,5,1,3,1.3,5_2,52,1983,13259,1985,121493,10.91,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_2.2,5384,5,2,2,2.2,5_3,53,1983,5384,1986,121493,4.43,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1983,0,1987,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1984,0,1985,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_1.2,58466,4,1,2,1.2,4_2,42,1984,58466,1986,90540,64.57,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_2.1,2057,4,2,1,2.1,4_3,43,1984,2057,1987,90540,2.27,NA,NA
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1985,0,1986,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_1.1,547,3,1,1,1.1,3_2,32,1985,547,1987,47821,1.14,166340,0.287
Columbia River,Bonneville Lock & Dam,1988,79714,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1986,0,1987,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1981,0,1985,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1982,0,1984,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1982,0,1985,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1982,0,1986,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1983,0,1984,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1983,0,1985,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_2.3,210,6,2,3,2.3,6_3,63,1983,210,1986,121493,0.17,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1983,0,1987,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1984,0,1985,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_1.3,3809,5,1,3,1.3,5_2,52,1984,3809,1986,90540,4.21,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_2.2,3052,5,2,2,2.2,5_3,53,1984,3052,1987,90540,3.37,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1984,0,1988,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1985,0,1986,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_1.2,33993,4,1,2,1.2,4_2,42,1985,33993,1987,47821,71.08,166340,0.287
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_2.1,523,4,2,1,2.1,4_3,43,1985,523,1988,47821,1.09,166340,0.287
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1986,0,1987,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_1.1,298,3,1,1,1.1,3_2,32,1986,298,1988,43800,0.68,58123,0.754
Columbia River,Bonneville Lock & Dam,1989,41884,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1987,0,1988,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1982,0,1986,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1983,0,1985,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1983,0,1986,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1983,0,1987,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1984,0,1985,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1984,0,1986,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_2.3,157,6,2,3,2.3,6_3,63,1984,157,1987,90540,0.17,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1984,0,1988,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1985,0,1986,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_1.3,5001,5,1,3,1.3,5_2,52,1985,5001,1987,47821,10.46,166340,0.287
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_2.2,7681,5,2,2,2.2,5_3,53,1985,7681,1988,47821,16.06,166340,0.287
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1985,0,1989,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1986,0,1987,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_1.2,29089,4,1,2,1.2,4_2,42,1986,29089,1988,43800,66.41,58123,0.754
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_2.1,393,4,2,1,2.1,4_3,43,1986,393,1989,43800,0.9,58123,0.754
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1987,0,1988,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_1.1,7260,3,1,1,1.1,3_2,32,1987,7260,1989,87441,8.3,116993,0.747
Columbia River,Bonneville Lock & Dam,1990,49581,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1988,0,1989,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1983,0,1987,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1984,0,1986,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1984,0,1987,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1984,0,1988,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1985,0,1986,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1985,0,1987,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_2.3,76,6,2,3,2.3,6_3,63,1985,76,1988,47821,0.16,166340,0.287
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1985,0,1989,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1986,0,1987,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_1.3,13678,5,1,3,1.3,5_2,52,1986,13678,1988,43800,31.23,58123,0.754
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_2.2,342,5,2,2,2.2,5_3,53,1986,342,1989,43800,0.78,58123,0.754
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1986,0,1990,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1987,0,1988,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_1.2,56355,4,1,2,1.2,4_2,42,1987,56355,1989,87441,64.45,116993,0.747
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_2.1,1958,4,2,1,2.1,4_3,43,1987,1958,1990,87441,2.24,116993,0.747
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1988,0,1989,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_1.1,4072,3,1,1,1.1,3_2,32,1988,4072,1990,76799,5.3,79714,0.963
Columbia River,Bonneville Lock & Dam,1991,76481,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1989,0,1990,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1984,0,1988,90540,0,NA,NA
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1985,0,1987,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1985,0,1988,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1985,0,1989,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1986,0,1987,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1986,0,1988,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1986,0,1989,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1986,0,1990,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1987,0,1988,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_1.3,5755,5,1,3,1.3,5_2,52,1987,5755,1989,87441,6.58,116993,0.747
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_2.2,15129,5,2,2,2.2,5_3,53,1987,15129,1990,87441,17.3,116993,0.747
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1987,0,1991,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1988,0,1989,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_1.2,56044,4,1,2,1.2,4_2,42,1988,56044,1990,76799,72.97,79714,0.963
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_2.1,2894,4,2,1,2.1,4_3,43,1988,2894,1991,76799,3.77,79714,0.963
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1989,0,1990,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_1.1,5170,3,1,1,1.1,3_2,32,1989,5170,1991,80861,6.39,41884,1.931
Columbia River,Bonneville Lock & Dam,1992,84992,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1990,0,1991,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1985,0,1989,47821,0,166340,0.287
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1986,0,1988,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1986,0,1989,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1986,0,1990,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1987,0,1988,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1987,0,1989,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_2.3,984,6,2,3,2.3,6_3,63,1987,984,1990,87441,1.13,116993,0.747
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1987,0,1991,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1988,0,1989,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_1.3,8043,5,1,3,1.3,5_2,52,1988,8043,1990,76799,10.47,79714,0.963
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_2.2,5640,5,2,2,2.2,5_3,53,1988,5640,1991,76799,7.34,79714,0.963
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1988,0,1992,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1989,0,1990,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_1.2,65510,4,1,2,1.2,4_2,42,1989,65510,1991,80861,81.02,41884,1.931
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_2.1,0,4,2,1,2.1,4_3,43,1989,0,1992,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1990,0,1991,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_1.1,0,3,1,1,1.1,3_2,32,1990,0,1992,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1993,80178,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1991,0,1992,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1986,0,1990,43800,0,58123,0.754
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1987,0,1989,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1987,0,1990,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1987,0,1991,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1988,0,1989,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1988,0,1990,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_2.3,106,6,2,3,2.3,6_3,63,1988,106,1991,76799,0.14,79714,0.963
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1988,0,1992,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1989,0,1990,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_1.3,8583,5,1,3,1.3,5_2,52,1989,8583,1991,80861,10.61,41884,1.931
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_2.2,1503,5,2,2,2.2,5_3,53,1989,1503,1992,80861,1.86,41884,1.931
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1989,0,1993,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1990,0,1991,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_1.2,1899,4,1,2,1.2,4_2,42,1990,1899,1992,2607,72.84,49581,0.053
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_2.1,146,4,2,1,2.1,4_3,43,1990,146,1993,2607,5.6,49581,0.053
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1991,0,1992,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_1.1,440,3,1,1,1.1,3_2,32,1991,440,1993,9610,4.58,76481,0.126
Columbia River,Bonneville Lock & Dam,1994,12678,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1992,0,1993,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1987,0,1991,87441,0,116993,0.747
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1988,0,1990,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1988,0,1991,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1988,0,1992,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1989,0,1990,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1989,0,1991,80861,0,41884,1.931
