System,River,BroodYear,Age,MarineEntryYear,ReturnYear,ReturnsByAge,Label,Euro,GR,Perc_Med,FW_Winters,Mar_Winters,MarineEntryOffset_BrYr,MarineEntryOffset_RetYr,Total_Spawners_BroodYear
Bristol Bay,Alagnak,1975,5,1977,1980,529475.62,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,100480
Bristol Bay,Alagnak,1974,6,1977,1980,1867.33,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,214848
Bristol Bay,Alagnak,1978,3,1980,1981,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,584970
Bristol Bay,Alagnak,1977,4,1979,1981,3286.81,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,108910.5
Bristol Bay,Alagnak,1976,5,1978,1981,157897.42,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,81822
Bristol Bay,Alagnak,1975,6,1978,1981,492798.4,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,100480
Bristol Bay,Alagnak,1979,3,1981,1982,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,750210
Bristol Bay,Alagnak,1978,4,1980,1982,561752.38,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,584970
Bristol Bay,Alagnak,1977,5,1979,1982,689174.64,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,108910.5
Bristol Bay,Alagnak,1976,6,1979,1982,94648.8,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,81822
Bristol Bay,Alagnak,1980,3,1982,1983,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,759645
Bristol Bay,Alagnak,1979,4,1981,1983,965451.2200000001,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,750210
Bristol Bay,Alagnak,1978,5,1980,1983,1539174.26,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,584970
Bristol Bay,Alagnak,1977,6,1980,1983,145046.23,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,108910.5
Bristol Bay,Alagnak,1981,3,1983,1984,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,209635.5
Bristol Bay,Alagnak,1980,4,1982,1984,4639.56,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,759645
Bristol Bay,Alagnak,1979,5,1981,1984,1128731.39,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,750210
Bristol Bay,Alagnak,1978,6,1981,1984,58120.75,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,584970
Bristol Bay,Alagnak,1982,3,1984,1985,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,610215
Bristol Bay,Alagnak,1981,4,1983,1985,174414.66,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,209635.5
Bristol Bay,Alagnak,1980,5,1982,1985,638455.44,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,759645
Bristol Bay,Alagnak,1979,6,1982,1985,14173.23,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,750210
Bristol Bay,Alagnak,1983,3,1985,1986,6508.43,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,245361
Bristol Bay,Alagnak,1982,4,1984,1986,6006.85,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,610215
Bristol Bay,Alagnak,1981,5,1983,1986,1008291.55,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,209635.5
Bristol Bay,Alagnak,1980,6,1983,1986,0,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,759645
Bristol Bay,Alagnak,1984,3,1986,1987,560.96,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,549193.5
Bristol Bay,Alagnak,1983,4,1985,1987,12695.21,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,245361
Bristol Bay,Alagnak,1982,5,1984,1987,767481.15,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,610215
Bristol Bay,Alagnak,1981,6,1984,1987,0,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,209635.5
Bristol Bay,Alagnak,1985,3,1987,1988,6814.91,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,300976.5
Bristol Bay,Alagnak,1984,4,1986,1988,410254.51999999996,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,549193.5
Bristol Bay,Alagnak,1983,5,1985,1988,434065.17,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,245361
Bristol Bay,Alagnak,1982,6,1985,1988,0,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,610215
Bristol Bay,Alagnak,1986,3,1988,1989,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,586959
Bristol Bay,Alagnak,1985,4,1987,1989,125621.03,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,300976.5
Bristol Bay,Alagnak,1984,5,1986,1989,1252501.58,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,549193.5
Bristol Bay,Alagnak,1983,6,1986,1989,1247.16,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,245361
Bristol Bay,Alagnak,1987,3,1989,1990,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,393235.5
Bristol Bay,Alagnak,1986,4,1988,1990,0,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,586959
Bristol Bay,Alagnak,1985,5,1987,1990,792074.18,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,300976.5
Bristol Bay,Alagnak,1984,6,1987,1990,797262.72,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,549193.5
Bristol Bay,Alagnak,1988,3,1990,1991,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,496306.5
Bristol Bay,Alagnak,1987,4,1989,1991,0,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,393235.5
Bristol Bay,Alagnak,1986,5,1988,1991,957270.39,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,586959
Bristol Bay,Alagnak,1985,6,1988,1991,720017.36,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,300976.5
Bristol Bay,Alagnak,1989,3,1991,1992,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,501738
Bristol Bay,Alagnak,1988,4,1990,1992,0,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,496306.5
Bristol Bay,Alagnak,1987,5,1989,1992,394531.99,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,393235.5
Bristol Bay,Alagnak,1986,6,1989,1992,1066241.37,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,586959
Bristol Bay,Alagnak,1990,3,1992,1993,100366.26,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,430338
Bristol Bay,Alagnak,1989,4,1991,1993,712704.84,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,501738
Bristol Bay,Alagnak,1988,5,1990,1993,1253987.35,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,496306.5
Bristol Bay,Alagnak,1987,6,1990,1993,375877.04,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,393235.5
Bristol Bay,Alagnak,1991,3,1993,1994,23838.3,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,707851.95
Bristol Bay,Alagnak,1990,4,1992,1994,3138.08,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,430338
Bristol Bay,Alagnak,1989,5,1991,1994,2015213.5,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,501738
Bristol Bay,Alagnak,1988,6,1991,1994,19833.51,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,496306.5
Bristol Bay,Alagnak,1992,3,1994,1995,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,577939.65
Bristol Bay,Alagnak,1991,4,1993,1995,1012274.36,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,707851.95
Bristol Bay,Alagnak,1990,5,1992,1995,1174355.52,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,430338
Bristol Bay,Alagnak,1989,6,1992,1995,12148.05,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,501738
Bristol Bay,Alagnak,1993,3,1995,1996,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,887336.25
Bristol Bay,Alagnak,1992,4,1994,1996,35663.28,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,577939.65
Bristol Bay,Alagnak,1991,5,1993,1996,2341905.26,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,707851.95
Bristol Bay,Alagnak,1990,6,1993,1996,4214.61,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,430338
Bristol Bay,Alagnak,1994,3,1996,1997,593413.38,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,618464.25
Bristol Bay,Alagnak,1993,4,1995,1997,11920.490000000002,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,887336.25
Bristol Bay,Alagnak,1992,5,1994,1997,151180.96000000002,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,577939.65
Bristol Bay,Alagnak,1991,6,1994,1997,56231.16,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,707851.95
Bristol Bay,Alagnak,1995,3,1997,1998,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,550068.15
Bristol Bay,Alagnak,1994,4,1996,1998,1616.28,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,618464.25
Bristol Bay,Alagnak,1993,5,1995,1998,1183975.02,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,887336.25
Bristol Bay,Alagnak,1992,6,1995,1998,0,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,577939.65
Bristol Bay,Alagnak,1996,3,1998,1999,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,782212.5
Bristol Bay,Alagnak,1995,4,1997,1999,2028132.49,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,550068.15
Bristol Bay,Alagnak,1994,5,1996,1999,689723,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,618464.25
Bristol Bay,Alagnak,1993,6,1996,1999,311081.17,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,887336.25
Bristol Bay,Alagnak,1997,3,1999,2000,5994.05,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,556193.25
Bristol Bay,Alagnak,1996,4,1998,2000,40387.31,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,782212.5
Bristol Bay,Alagnak,1995,5,1997,2000,1863766.32,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,550068.15
Bristol Bay,Alagnak,1994,6,1997,2000,279022.27,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,618464.25
Bristol Bay,Alagnak,1998,3,2000,2001,11639.28,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,643110
Bristol Bay,Alagnak,1997,4,1999,2001,1937.8300000000002,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,556193.25
Bristol Bay,Alagnak,1996,5,1998,2001,1168872.92,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,782212.5
Bristol Bay,Alagnak,1995,6,1998,2001,4396.1,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,550068.15
Bristol Bay,Alagnak,1999,3,2001,2002,10.81,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,1182180
Bristol Bay,Alagnak,1998,4,2000,2002,17998.77,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,643110
Bristol Bay,Alagnak,1997,5,1999,2002,711197.43,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,556193.25
Bristol Bay,Alagnak,1996,6,1999,2002,212039.5,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,782212.5
Bristol Bay,Alagnak,2000,3,2002,2003,2051.17,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,1150000
Bristol Bay,Alagnak,1999,4,2001,2003,802355.81,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,1182180
Bristol Bay,Alagnak,1998,5,2000,2003,2691536.6599999997,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,643110
Bristol Bay,Alagnak,1997,6,2000,2003,661806.69,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,556193.25
Bristol Bay,Alagnak,2001,3,2003,2004,39954.21,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,680850
Bristol Bay,Alagnak,2000,4,2002,2004,5559727.83,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,1150000
Bristol Bay,Alagnak,1999,5,2001,2004,1859244.14,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,1182180
Bristol Bay,Alagnak,1998,6,2001,2004,56605.43,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,643110
Bristol Bay,Alagnak,2002,3,2004,2005,14.68,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,767000
Bristol Bay,Alagnak,2001,4,2003,2005,128239.61,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,680850
Bristol Bay,Alagnak,2000,5,2002,2005,4042216.79,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,1150000
Bristol Bay,Alagnak,1999,6,2002,2005,1054244.5,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,1182180
Bristol Bay,Alagnak,2003,3,2005,2006,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,3676146
Bristol Bay,Alagnak,2002,4,2004,2006,1780646.84,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,767000
Bristol Bay,Alagnak,2001,5,2003,2006,1404239.44,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,680850
Bristol Bay,Alagnak,2000,6,2003,2006,147338.81,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,1150000
Bristol Bay,Alagnak,2004,3,2006,2007,1822.48,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,5400000
Bristol Bay,Alagnak,2003,4,2005,2007,2760468.65,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,3676146
Bristol Bay,Alagnak,2002,5,2004,2007,1904191.19,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,767000
Bristol Bay,Alagnak,2001,6,2004,2007,104750.37,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,680850
Bristol Bay,Alagnak,2005,3,2007,2008,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,4218990
Bristol Bay,Alagnak,2004,4,2006,2008,860687.91,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,5400000
Bristol Bay,Alagnak,2003,5,2005,2008,3802688.7399999998,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,3676146
Bristol Bay,Alagnak,2002,6,2005,2008,42634.8,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,767000
Bristol Bay,Alagnak,2006,3,2008,2009,1340.21,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,1773966
Bristol Bay,Alagnak,2005,4,2007,2009,741790.31,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,4218990
Bristol Bay,Alagnak,2004,5,2006,2009,1487739.36,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,5400000
Bristol Bay,Alagnak,2003,6,2006,2009,138290.06,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,3676146
Bristol Bay,Alagnak,2007,3,2009,2010,1625.26,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,2470000
Bristol Bay,Alagnak,2006,4,2008,2010,666876.14,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,1773966
Bristol Bay,Alagnak,2005,5,2007,2010,1982843.2,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,4218990
Bristol Bay,Alagnak,2004,6,2007,2010,164209.66,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,5400000
Bristol Bay,Alagnak,2008,3,2010,2011,827.07,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,2180502
Bristol Bay,Alagnak,2007,4,2009,2011,500487.03,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,2470000
Bristol Bay,Alagnak,2006,5,2008,2011,1632673.39,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,1773966
Bristol Bay,Alagnak,2005,6,2008,2011,115314.19,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,4218990
Bristol Bay,Alagnak,2009,3,2011,2012,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,971000
Bristol Bay,Alagnak,2008,4,2010,2012,507106.41,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,2180502
Bristol Bay,Alagnak,2007,5,2009,2012,1580991.7799999998,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,2470000
Bristol Bay,Alagnak,2006,6,2009,2012,138944.53999999998,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,1773966
Bristol Bay,Alagnak,2010,3,2012,2013,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,1190000
Bristol Bay,Alagnak,2009,4,2011,2013,461252.09,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,971000
Bristol Bay,Alagnak,2008,5,2010,2013,1342417.57,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,2180502
Bristol Bay,Alagnak,2007,6,2010,2013,126475.28,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,2470000
Bristol Bay,Alagnak,2011,3,2013,2014,119.85,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,883794
Bristol Bay,Alagnak,2010,4,2012,2014,735795.52,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,1190000
Bristol Bay,Alagnak,2009,5,2011,2014,810666.0599999999,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,971000
Bristol Bay,Alagnak,2008,6,2011,2014,74374.35,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,2180502
Bristol Bay,Alagnak,2012,3,2014,2015,39747.72,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,861747
Bristol Bay,Alagnak,2011,4,2013,2015,3087316.95,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,883794
Bristol Bay,Alagnak,2010,5,2012,2015,4983809.59,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,1190000
Bristol Bay,Alagnak,2009,6,2012,2015,133248.1,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,971000
Bristol Bay,Alagnak,2013,3,2015,2016,2701.89,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,1100000
