,System,River,MarineEntryYear,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Juveniles_Marine_Entry
17,Bristol Bay,Alagnak,1972,0,0,0,0,0,4.46E-10,78027.48004,58491.20163,0,0,0,108529.1674,15545.36038,1.03E-09,0,9.26E-10,2.48E-09,0,260593.2095
18,Bristol Bay,Alagnak,1973,0,0,1.03E-09,0,0,1232.554603,28837.9158,56203.80349,0,0,9.26E-10,8320.092751,802.9801249,0,0,2.48E-09,1.03E-09,0,95397.34677
19,Bristol Bay,Alagnak,1974,0,1.03E-09,6.87E-09,3098.548864,0,1462.131056,70319.71726,27572.16095,1.50E-08,0,0,30123.16981,207343.1732,1.01E-07,0,1.03E-09,6.41E-09,0,339918.9012
20,Bristol Bay,Alagnak,1975,0,6.41E-09,1910.670007,0,0,0,2.11E-08,6686.64052,1377.892959,0,1.03E-09,2.98E-08,2.14E-07,0,0,6.41E-09,1011.868203,0,10987.07169
21,Bristol Bay,Alagnak,1976,0,0,0,0,0,0,722581.3598,2.85E-08,1866.977846,0,0,350599.5198,3.80E-08,0,0,24813.54735,7.60E-09,0,1099861.405
22,Bristol Bay,Alagnak,1977,0,2.47E-08,77257.47128,0,0,0,8.16E-08,467274.9948,0,0,6.39E-08,1551297.185,0.212863894,0,0,67511.86128,83665.26528,0,2247006.99
23,Bristol Bay,Alagnak,1978,0,0.010013235,3286.812066,0,0,3.79E-08,0.01302035,157897.4174,2.21E-08,0,3.23E-08,0.024200019,492798.3956,2.29E-08,0,0.139271383,13252.07246,0,667234.8841
24,Bristol Bay,Alagnak,1979,0,0,8.49E-09,0,0,163393.6819,2.88E-07,689174.6394,3.56E-08,0,1.461393776,1.89E-06,94648.79976,14903.46447,62200.61048,8.34E-09,0,0,1024322.657
25,Bristol Bay,Alagnak,1980,0,0,1044.816871,6.43E-09,0,0,561752.3807,1026219.175,15371.06085,0,0,2.63E-08,145046.2347,0,0,0,6.67E-09,0,1749433.668
26,Bristol Bay,Alagnak,1981,0,0,4639.555523,0,0,0,947783.0621,81154.7649,14173.23019,0,0,512955.0871,2.14E-08,16536.78176,0,6.67E-09,1757.742072,0,1579000.224
27,Bristol Bay,Alagnak,1982,0,0,3.99E-09,0,0,0,1.71E-08,368591.127,2.02E-08,0,16623.33755,1047576.635,1.07E-06,131.8850177,0,42749.68539,3.99E-09,0,1475672.67
28,Bristol Bay,Alagnak,1983,0,0,6006.848242,3.97E-09,0,0,174414.6562,1008291.548,9.26E-09,0,5.13E-08,269864.3136,5.43E-08,5.29E-09,0,6.02E-09,0,0,1458577.366
29,Bristol Bay,Alagnak,1984,0,0,12695.2073,4.61E-09,0,9.26E-08,3.30E-08,767481.155,4.61E-09,9.17E-09,4.34E-07,1.60E-08,1.14E-07,4.61E-09,0,5.32E-09,0,0,780176.3623
30,Bristol Bay,Alagnak,1985,0,560.9568253,6532.226676,1631.854436,0,6508.426705,3.11E-08,434065.1723,9.79E-09,0,0,2.30E-08,2.43E-08,2.20E-08,0,6.76E-09,5.79E-09,0,449298.6369
31,Bristol Bay,Alagnak,1986,1.97E-08,5.82E-09,39050.59914,0,0,4.22E-08,403722.288,1250869.725,25116.47654,0,0,8.15E-08,1247.161118,7.82E-09,0,5.82E-09,7.58E-09,0,1720006.25
32,Bristol Bay,Alagnak,1987,0,1.01E-08,4.05E-08,2446.310504,0,6814.911564,86570.42681,792074.1818,1.65E-08,0,1.18E-07,4.31E-08,772146.2427,4441.248429,0,7.61E-09,2088.285455,0,1666581.607
33,Bristol Bay,Alagnak,1988,0,2.55E-08,2.25E-08,4.70E-09,0,1.97E-07,9.33E-08,954824.0797,1.72E-07,0,2.90E-08,1.13E-08,720017.3639,1.18E-08,2.32E-08,3.11E-08,2925.868057,0,1677767.312
34,Bristol Bay,Alagnak,1989,0,1.45E-08,7.09E-09,0,0,1.33E-08,2.70E-08,394531.9947,1.07E-08,0,3.99E-08,1.35E-07,1066241.369,2.41E-08,0,8.30E-09,865.2218988,0,1461638.586
35,Bristol Bay,Alagnak,1990,0,7.13E-09,5.34E-09,1365.064269,0,0,9.51E-09,638576.4148,19833.51353,0,3.49E-08,1.19E-08,374484.4063,1.65E-08,0,4.75E-09,8799.426544,0,1043058.825
36,Bristol Bay,Alagnak,1991,0,0,3138.081058,240.7624705,0,0,712704.8419,1322636.532,12148.05425,0,9.67E-09,615410.9378,1.37E-08,6.59E-09,0,1392.630624,8.24E-09,0,2667671.84
37,Bristol Bay,Alagnak,1992,0,8.67E-09,6.74E-09,3.27E-09,0,100366.2567,3.47E-08,1174114.761,4214.611001,0,7.72E-08,691211.9099,4.49E-06,1758.577045,0,9.54E-08,2.02E-08,0,1971666.116
38,Bristol Bay,Alagnak,1993,0,6.90E-09,35663.28234,824.6365408,0,23838.29849,1012274.363,2341905.265,0.003800496,0,5.06E-08,1.76E-07,1.47E-08,0.001731756,0,1.72E-08,6.54E-09,0,3414505.85
39,Bristol Bay,Alagnak,1994,0,0,10456.94931,0,0,0,3.11E-08,150356.3157,8.58E-09,0,3.29E-07,8.18E-09,53630.10723,5.46E-09,0,1.47E-08,1590.206915,0,216033.5791
40,Bristol Bay,Alagnak,1995,0,0.000896386,1616.278774,0,0,3.01E-08,1463.539014,957262.2413,38.87584698,0,1.17E-08,0.002857406,1.17E-08,3.53E-09,0,2601.051263,4.69E-09,0,962981.9899
41,Bristol Bay,Alagnak,1996,0,0,0,11.84545132,0,593413.3826,9.60E-08,688616.3289,11052.97876,3.11E-09,0,226712.7831,311042.2866,0,0,1.57E-08,3.53E-09,0,1830849.605
42,Bristol Bay,Alagnak,1997,0,0,0,0,0,0,2028132.493,1861831.561,974.4500521,0,4.47E-08,1106.665777,259857.1408,66.4397763,0,3.53E-09,5.37E-09,0,4151968.75
43,Bristol Bay,Alagnak,1998,0,0,55.36648023,0,0,0,40387.31041,1167710.216,204767.5643,1.57E-09,3.53E-09,1922.911696,3421.648479,43.22101218,0,8112.152511,6.25E-09,0,1426420.391
44,Bristol Bay,Alagnak,1999,0,0,0,0,0,5994.053232,1871.387032,625825.2959,41421.52384,0,0,1162.696085,7234.116909,47.01238787,0,5.62E-09,10.80525305,0,683566.8906
45,Bristol Bay,Alagnak,2000,0,10.80525304,0,0,0,11639.27761,9903.014409,2422101.567,84.94987603,0,11.07329613,85372.12845,620197.1218,10148.83633,0,37.8183862,2.36E-09,268.6760069,3159775.268
46,Bristol Bay,Alagnak,2001,0,0,13.25851383,287.7517004,0,7.46E-08,802308.7968,1213013.134,277.2843522,0,8095.762882,269435.0936,56520.48435,2.72E-09,8.90E-08,188.0495514,3.84E-09,0,2350139.616
47,Bristol Bay,Alagnak,2002,0,0,306.9562649,4.03E-09,0,2051.167747,5559714.574,4007257.57,31485.86589,0,47.01238786,646231.0105,1053967.224,10608.00721,0,3.84E-09,2.72E-09,0,11311669.39
48,Bristol Bay,Alagnak,2003,0,0,6015.001694,0,0,39954.21287,127914.7465,1366722.794,12340.66816,3.31E-09,3.86E-09,34671.47396,115780.4856,3.28E-09,0,2.72E-09,45.81936588,0,1703445.202
49,Bristol Bay,Alagnak,2004,0,0,0,3.31E-09,0,14.67583275,1774631.842,1836230.75,4217.832126,0,17.89637234,37516.64965,92409.7002,3.31E-09,0,72.45188977,3.28E-09,0,3745111.798
50,Bristol Bay,Alagnak,2005,0,0,3.31E-09,0,0,2.69E-09,2760468.649,3797307.264,116853.8051,0,2.69E-09,67960.43965,38416.96934,3.29E-09,0,3.28E-09,3.31E-09,0,6781007.128
51,Bristol Bay,Alagnak,2006,0,0,0,3.13E-09,0,1822.475449,860687.9083,1378015.368,15868.20693,0,3.28E-09,5381.481489,21436.24851,3.13E-09,0,3.31E-09,0,0,2283211.689
52,Bristol Bay,Alagnak,2007,0,0,3.13E-09,2.57E-09,0,3.31E-09,741790.3126,1855297.39,7216.026903,0,3.31E-09,109723.9876,148341.4502,2.57E-09,0,3.29E-09,0,0,2862369.167
53,Bristol Bay,Alagnak,2008,0,0,2.57E-09,2.86E-09,0,1340.206556,666876.1427,1577882.43,623.6313307,1.14E-08,3.29E-09,127545.8105,108098.1586,384.6725895,0,3.13E-09,2.57E-09,0,2482751.053
54,Bristol Bay,Alagnak,2009,0,0,96.16823079,4.15E-09,0,1625.25589,500487.0254,1099434.143,258.7806435,0,3.13E-09,54790.96021,138224.7391,4.15E-09,0,2.57E-09,2.86E-09,0,1794917.072
55,Bristol Bay,Alagnak,2010,0,0,0,0,0,827.0698279,507010.2399,1252746.001,3907.467304,0,2.57E-09,481557.6372,126216.5021,100.5674702,0,96.16823079,86.26024183,0,2372547.913
56,Bristol Bay,Alagnak,2011,0,0,100.5674702,0,0,0,461079.569,693019.5954,848.311779,0,2.86E-09,89671.57444,70466.8842,0,0,4.16E-09,3.30E-09,0,1315186.502
57,Bristol Bay,Alagnak,2012,0,0,0.467748513,0,0,1.77E-08,735455.2432,3182986.39,12833.27778,0,172.5204017,117646.4636,132394.0592,4.46E-09,0,3.30E-09,0,0,4181488.422
58,Bristol Bay,Alagnak,2013,0,0,0,0,0,119.8535513,3087316.408,2498861.497,2.750691237,41.16637938,239.707314,1800823.196,766627.8123,0,0,5.729088189,4.46E-09,0,8154038.121
59,Bristol Bay,Alagnak,2014,0,0,0,0,0,39747.72016,1123765.344,1614660.843,10639.65192,0,0.07095411,533352.511,48130.98577,111.501954,0,4.46E-09,0.254286212,0,3370408.883
60,Bristol Bay,Alagnak,2015,0,0,0,0,0,2701.893556,2677120.72,1235289.754,457.5836069,0,4.46E-09,22310.66468,17181.10598,0,0,1.420137039,48.62513454,0,3955111.767
61,Bristol Bay,Alagnak,2016,0,0,0,0,1.05E-06,68087.60633,1604307.418,586590.7187,4.73E-09,1.05E-06,0,3197.529829,9521.967042,0,0,0,0.019519612,0,2271705.259
62,Bristol Bay,Alagnak,2017,0,0,0,1.05E-06,1.04E-06,2697.793179,1230186.21,2693830.104,22635.24793,1.04E-06,34.98382736,24204.11063,1067.88622,1.0387568,0,0,0,1.05E-06,3974657.375
63,Bristol Bay,Alagnak,2018,0,0,1.05E-06,1.04E-06,1.02E-06,4174.728164,1839803.776,2700670.955,8130.432049,1.02E-06,0.284602196,19769.61903,716039.9035,1.04E-06,0,4.73E-09,1.05E-06,1.04E-06,5288589.699
64,Bristol Bay,Alagnak,2019,0,1.05E-06,1.04E-06,1.02E-06,NA,6736.57857,2324175.581,2929533.349,6488.244528,NA,4.73E-09,359397.0158,165740.1391,0.000158056,0,1.05E-06,5572.857987,1.02E-06,5797643.766
65,Bristol Bay,Alagnak,2020,1.05E-06,1.04E-06,1.02E-06,NA,NA,0.000201169,1106969.185,1167190.077,NA,NA,1400.861793,420868.0033,843127.3157,NA,1.05E-06,215.1503444,1.02E-06,NA,3539770.593
66,Bristol Bay,Alagnak,2021,1.04E-06,1.02E-06,NA,NA,NA,8045.043921,474456.8449,NA,NA,NA,1.04E-06,46741.77899,NA,NA,1.04E-06,24.60324427,NA,NA,529268.2711
67,Bristol Bay,Alagnak,2022,1.02E-06,NA,NA,NA,NA,1427.333217,NA,NA,NA,NA,9.29E-05,NA,NA,NA,1.02E-06,NA,NA,NA,1427.333312
68,Bristol Bay,Alagnak,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69,Bristol Bay,Alagnak,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
70,Bristol Bay,Alagnak,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
71,Bristol Bay,Alagnak,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
72,Bristol Bay,Alagnak,2027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
73,Bristol Bay,Alagnak,2028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
74,Bristol Bay,Egegik,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
75,Bristol Bay,Egegik,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
76,Bristol Bay,Egegik,1958,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
77,Bristol Bay,Egegik,1959,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0
78,Bristol Bay,Egegik,1960,NA,NA,0,0,0,NA,NA,62982.41749,88.30467128,0,NA,NA,706515.7826,0,NA,NA,15612.09807,0,785198.6029
79,Bristol Bay,Egegik,1961,NA,0,0,0,0,NA,50461.37576,155084.8441,782.4082927,0,NA,1064195.567,290239.2841,0,NA,89605.86566,77749.25351,0,1728118.598
80,Bristol Bay,Egegik,1962,0,2.77E-05,6.46E-09,0,0,0,213842.1559,340500.3087,1.82E-09,0,2486.666955,1246563.364,635809.1877,129.5297105,0,28636.93209,1945.994688,0,2469914.14
81,Bristol Bay,Egegik,1963,0,0,1.82E-09,0,0,0,47269.2128,104163.8893,1.60E-09,0,397.2592124,4134127.533,2347788.888,0,0,10515.02493,20303.7445,0,6664565.552
82,Bristol Bay,Egegik,1964,0,0,1024.70891,0,0,6.38E-09,3547.200849,19755.11178,1.21E-09,0,6.38E-09,383656.3489,916276.1459,8.07E-10,0,43856.62903,38323.95037,0,1406440.096
83,Bristol Bay,Egegik,1965,0,0,1.62E-09,0,0,0,2667.336658,85596.9672,2.01E-09,0,404.8203979,716891.1894,309636.987,0,0,27631.8326,8495.785329,0,1151324.919
84,Bristol Bay,Egegik,1966,0,0,0,0,0,228.7945009,61057.66852,36450.12691,0,0,2263.724822,513647.2007,298366.8522,0,0,27596.21431,15424.9167,0,955035.4987
85,Bristol Bay,Egegik,1967,0,2.06E-09,177.3895537,1.66E-09,0,8.04E-10,24283.86928,10867.35185,1593.69179,0,5946.090941,1534886.793,222304.1895,0,0,82830.89669,7474.647841,0,1890364.92
86,Bristol Bay,Egegik,1968,0,0,1900.881108,1.94E-09,0,0,145853.7673,550527.8378,1040.358727,0,24472.04565,1485853.916,811265.61,1013.294351,0,72732.35478,4276.189397,0,3098936.255
87,Bristol Bay,Egegik,1969,0,1.65E-09,1006.271189,0,0,0,56673.27338,188696.4319,3.44E-09,0,105.2964674,563055.1246,781194.3307,0,0,6338.108354,22797.36015,0,1619866.197
88,Bristol Bay,Egegik,1970,0,0,3.23E-09,0,0,0,20399.37071,46666.22576,1.39E-09,0,469.5846622,748745.1381,630902.2433,1832.661163,0,9642.391636,6674.50026,0,1465332.116
89,Bristol Bay,Egegik,1971,0,0,0,0,0,2.18E-07,8738.090202,103338.3213,0,0,0,90534.22346,200828.1812,8546.222813,0,668.7252773,1542.172819,0,414195.9371
90,Bristol Bay,Egegik,1972,0,0,0,0,0,3.44E-09,106126.7894,81044.95037,0,0,3357.566207,1090569.105,1178714.939,3.69E-08,0,9.25E-10,9075.583569,0,2468888.934
91,Bristol Bay,Egegik,1973,0,0,4.25E-08,0,0,1.39E-09,21238.08117,1.67E-07,0,0,1.39E-09,565759.8423,1.12E-06,0,0,371009.6856,1.29E-06,0,958007.6091
92,Bristol Bay,Egegik,1974,0,6.25E-08,2.28E-09,1.48E-09,0,2.40E-09,8.60E-08,72017.78253,186.4004442,0,3281.678848,1289361.414,1266964.978,8.16E-09,0,415534.0341,34118.74165,0,3081465.03
93,Bristol Bay,Egegik,1975,0,1443.113839,1.45E-09,0,0,0,35038.0515,75610.9236,3.70E-09,0,4.00E-08,1532499.678,1234294.452,0,0,55646.37666,64037.19912,146.6998916,2998716.494
94,Bristol Bay,Egegik,1976,0,0,0,0,0,0,49637.88617,88787.36287,2.59E-05,0,438.2874458,585164.9457,724245.7001,0,0,56930.39955,13973.32821,0,1519177.91
95,Bristol Bay,Egegik,1977,0,147.6728901,3.01E-06,0,0,0,55085.40649,151116.0071,0,0,12430.26778,1666318.813,561289.6956,0,0,23869.19864,7319.104694,0,2477576.166
96,Bristol Bay,Egegik,1978,0,2.88E-08,2.78E-09,0,0,3.68E-09,381107.074,452344.4301,586.068051,0,7278.987941,2234183.058,580804.4166,1089.655992,0,58938.98633,2462.324146,0,3718795.001
97,Bristol Bay,Egegik,1979,0,0,1.02E-08,0,0,2322.479472,823006.34,1935491.15,11696.34131,0,53443.00145,2772401.054,820445.3895,4.45E-09,5.77E-09,8920.976104,1690.259376,0,6429416.991
98,Bristol Bay,Egegik,1980,0,0,4.45E-09,6464.600604,0,0,387998.1237,422634.678,859.6134937,0,1845.622013,628139.0008,698974.7839,0,0,0,4.45E-09,0,2146916.423
99,Bristol Bay,Egegik,1981,0,0,23353.27192,0,0,2849.181783,657109.9661,219730.8356,3.92E-09,0,6740.847413,6590350.232,2484584.888,3.92E-09,0,58420.38282,7713.939666,0,10050853.55
100,Bristol Bay,Egegik,1982,0,0,3.92E-09,0,0,4869.711216,706929.1945,2450118.347,4963.21046,0,2251.365806,1973576.034,1176188.836,1570.460021,0,13141.22405,8592.791197,0,6342201.174
101,Bristol Bay,Egegik,1983,0,0,896.9336361,2.49E-09,0,0,593439.3367,432085.8263,3247.125033,0,22071.55743,4056129.292,948854.1623,2.49E-09,0,3.92E-09,0,0,6056724.234
102,Bristol Bay,Egegik,1984,0,0,2.49E-09,2.551615698,0,1756.189742,1215619.209,1929108.557,6501.059543,0.000114609,45078.01509,2883765.692,1470066.355,3.28E-09,363.34752,4766.065663,0,0,7557027.043
103,Bristol Bay,Egegik,1985,0,2.48E-09,1314.372976,4.42E-09,0,2413.376428,1279753.334,2553114.462,6397.344861,0,11565.1957,1689006.953,1557303.242,4.42E-09,0,6290.027372,7613.497426,0,7114771.806
104,Bristol Bay,Egegik,1986,2.47E-09,437.4094417,143.6806973,0,0,484.083257,398395.6985,637987.579,5627.439188,0,7273.0087,3484607.883,3439216.649,16751.74006,0,22289.96083,1027.908778,0,8014243.04
105,Bristol Bay,Egegik,1987,0,4.42E-09,2034.800149,3.86E-09,0,434.7770049,425954.8814,781317.552,2769.189632,0,85549.46402,5245773.728,5130350.331,8675.304536,0,13729.32228,8372.901032,0,11704962.25
106,Bristol Bay,Egegik,1988,0,1249.523143,2368.244704,4.58E-09,0,1408.972508,2415527.112,3246243.186,68372.94388,0,33924.78668,4020182.861,1102467.008,4.58E-09,1895.139481,213206.3329,37096.6785,0,11143942.79
107,Bristol Bay,Egegik,1989,0,3.85E-09,2318.393414,0,0,4.68E-09,699118.6227,4224764.32,134446.6059,0,10806.63448,4062145.448,4210470.477,56070.43983,0,4118.733437,10931.96937,0,13415191.64
108,Bristol Bay,Egegik,1990,0,4.57E-09,5.11E-09,4.93E-09,0,1175.825133,296195.2317,1049593.954,5736.633603,0,69292.08606,8870956.788,11458635.48,44043.87801,0,95077.48947,38976.02911,0,21929683.4
109,Bristol Bay,Egegik,1991,0,0,7.39E-09,6.00E-09,0,0,199211.8838,251240.4834,4115.281097,0,106273.6394,11121318.38,6458564.46,3860.793661,5631.416118,154845.9237,66090.2101,0,18371152.47
110,Bristol Bay,Egegik,1992,0,4437.382105,741.7222696,312.360153,0,5.11E-09,393971.1798,729603.3979,5081.915157,0,37449.16522,5179386.219,4242640.525,435.9834347,0,257263.59,162840.94,0,11014164.38
111,Bristol Bay,Egegik,1993,955.073498,1242.510739,10943.33897,1620.284414,0,1450.213638,1208928.897,2874740.517,25215.05638,0,73045.60676,8809854.65,5980914.375,32457.54503,2127.55088,189470.8816,28405.33357,0,19241371.83
112,Bristol Bay,Egegik,1994,0,0,0.002928068,0,0,63.16474969,239876.5842,531796.3407,2780.660594,0,18657.04382,3223466.051,2573855.012,135.8177163,2909.728032,13130.0753,19349.88608,0,6626020.368
113,Bristol Bay,Egegik,1995,0,131.171809,1.52E-09,0,0,3.21E-09,117628.6429,329344.1039,1.388627243,0,38890.87383,4580342.544,3190111.533,9411.441069,0,9062.117945,7960.131899,0,8282883.949
114,Bristol Bay,Egegik,1996,0,0,0,0.423152146,0,7731.613276,249363.1284,493716.3267,2.538912882,4.35E-09,30535.03736,800145.2432,653288.0219,0,2397.254913,38919.2617,19295.8078,0,2295394.657
115,Bristol Bay,Egegik,1997,0,0,0,0,0,3546.446282,1495268.136,2696123.583,18707.38499,0,67291.02486,3805468.747,3299275.75,21866.70581,0,1217.834367,3873.718549,0,11412639.33
116,Bristol Bay,Egegik,1998,0,0,1.975961859,0,0,363.4245249,412382.558,1386366.082,21943.93582,1.52E-09,3043.059992,1726750.275,1539472.475,13866.2393,0,26806.42792,7825.479233,0,5138821.933
117,Bristol Bay,Egegik,1999,0,0,0,0,0,0,17162.12618,177854.7415,15.51619174,0,3483.771483,542540.1817,1749165.386,3087.505859,0,11312.00123,14790.93221,0,2519412.162
118,Bristol Bay,Egegik,2000,0,0.386150113,0,0,0,1.580769488,20334.58667,76433.63576,3.030856658,0,18742.28587,3493430.969,2069386.181,2145.171801,2445.900112,30409.31159,9139.558904,0.213015656,5722472.811
119,Bristol Bay,Egegik,2001,0,0,0.473039594,0,0,0,162299.8082,395983.3164,207.3163545,0,12649.32655,490761.3772,654091.7523,954.2067168,9875.85863,233786.7306,40651.59935,0,2001261.765
120,Bristol Bay,Egegik,2002,0,0,0.524640857,1765.235867,0,542.222256,1302473.624,2432554.434,33426.02034,0,171813.9565,9207076.019,3035602.319,2034.503031,89.15773996,15139.15702,56.01601547,0,16202573.19
121,Bristol Bay,Egegik,2003,0,0,246.4477299,0,0,0,292655.8056,797157.9169,458.7181411,3.32E-09,25104.91574,3546271.313,4647480.756,23089.71877,0,18602.31652,10953.71219,0,9362021.62
122,Bristol Bay,Egegik,2004,0,0,0,3.32E-09,0,27641.40979,1450971.282,2203107.667,1520.443537,0,47658.73069,1585956.61,2059102.148,3.32E-09,0,18902.43969,8123.570031,0,7402984.302
123,Bristol Bay,Egegik,2005,0,0,3.32E-09,0,0,19080.61442,1984955.74,2552431.043,18806.45855,0,45866.39923,1050682.287,511617.5662,4.44E-08,0,919.5032728,504.739294,0,6184864.351
124,Bristol Bay,Egegik,2006,0,0,0,3.13E-09,0,23434.37136,2789827.273,3459265.927,4.69E-09,0,41158.69163,1926995.458,2245895.782,5191.341495,0,561.9289678,0,0,10492330.77
125,Bristol Bay,Egegik,2007,0,0,3.13E-09,2.57E-09,0,4350.028203,470725.9129,202329.2423,19.35867817,0,39826.97871,6022979.239,1767627.2,375.0978908,0,4979.08164,2021.767012,0,8515233.906
126,Bristol Bay,Egegik,2008,0,0,2.57E-09,2.87E-09,0,7819.500355,144943.0238,253935.8087,1720.048567,3.68E-07,36928.62309,2866201.437,2550952.985,6192.516352,2270.425799,26666.74935,7407.857595,0,5905038.975
127,Bristol Bay,Egegik,2009,0,0,1041.558888,1.87E-08,0,8768.602126,53088.11786,429490.2664,13.78131595,0,121161.3725,1632027.244,1370541.09,1.45E-08,739.5011535,33876.21935,12711.29796,0,3663459.051
128,Bristol Bay,Egegik,2010,0,0,0,0,0,317.0901761,630407.6729,1090910.89,16.05962537,0,71868.14726,3377632.461,2457309.12,4010.976761,317.090178,29958.39576,11552.74315,0,7674300.647
129,Bristol Bay,Egegik,2011,0,0,990.815486,0,0,5486.43361,305233.8809,488974.6662,8427.644205,0,58269.88017,1104841.671,943565.4942,0,2175.135609,21920.20006,16152.4348,0,2956038.256
130,Bristol Bay,Egegik,2012,0,7212.434443,1969.760672,0,0,10191.8428,537683.0005,671671.9322,4.42E-09,0,122199.4693,2763497.815,785871.7985,4.42E-09,1581.7737,483.56351,0,0,4902363.39
131,Bristol Bay,Egegik,2013,0,0,0,0,0,36548.02133,444733.7087,1095740.232,4106.949619,0.140892024,274215.9285,5984739.945,2345583.766,0,7959.834908,20169.0652,4.46E-09,0,10213797.59
