stock_broodyr_age,production_stock_name,production_stock_code,broodyr,returnyr,age,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,num_recruits,hatchery_supplementation,active_spawning_channel,major_spawn_events,run_size_type,age_comp_method,stock_ID_quality,big_bar_flag,exclude_SR_modelling_spawners,exclude_SR_modelling_recruits
Late Stuart_1951_51,Late Stuart,2,1951,1956,51,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_52,Late Stuart,2,1951,1956,52,4402,1246,,,,7559,,,,historical,,2,,Include,Include
Late Stuart_1951_53,Late Stuart,2,1951,1956,53,4402,1246,,,,166,,,,historical,,2,,Include,Include
Late Stuart_1951_62,Late Stuart,2,1951,1957,62,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_63,Late Stuart,2,1951,1957,63,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_64,Late Stuart,2,1951,1957,64,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_72,Late Stuart,2,1951,1958,72,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_21,Late Stuart,2,1952,1954,21,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_31,Late Stuart,2,1952,1955,31,1975,16,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1952_32,Late Stuart,2,1952,1955,32,1975,16,,,,86,,,,post-DBE,,2,,Include,Include
Late Stuart_1952_41,Late Stuart,2,1952,1956,41,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_42,Late Stuart,2,1952,1956,42,1975,16,,,,3858,,,,historical,,2,,Include,Include
Late Stuart_1952_43,Late Stuart,2,1952,1956,43,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_51,Late Stuart,2,1952,1957,51,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_52,Late Stuart,2,1952,1957,52,1975,16,,,,29,,,,historical,,2,,Include,Include
Late Stuart_1952_53,Late Stuart,2,1952,1957,53,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_62,Late Stuart,2,1952,1958,62,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_63,Late Stuart,2,1952,1958,63,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_64,Late Stuart,2,1952,1958,64,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1952_72,Late Stuart,2,1952,1959,72,1975,16,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_21,Late Stuart,2,1953,1955,21,369023,78686,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1953_31,Late Stuart,2,1953,1956,31,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_32,Late Stuart,2,1953,1956,32,369023,78686,,,,830,,,,historical,,2,,Include,Include
Late Stuart_1953_41,Late Stuart,2,1953,1957,41,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_42,Late Stuart,2,1953,1957,42,369023,78686,,,,1548072,,,,historical,,2,,Include,Include
Late Stuart_1953_43,Late Stuart,2,1953,1957,43,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_51,Late Stuart,2,1953,1958,51,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_52,Late Stuart,2,1953,1958,52,369023,78686,,,,1470,,,,historical,,2,,Include,Include
Late Stuart_1953_53,Late Stuart,2,1953,1958,53,369023,78686,,,,1867,,,,historical,,2,,Include,Include
Late Stuart_1953_62,Late Stuart,2,1953,1959,62,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_63,Late Stuart,2,1953,1959,63,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_64,Late Stuart,2,1953,1959,64,369023,78686,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1953_72,Late Stuart,2,1953,1960,72,369023,78686,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1954_21,Late Stuart,2,1954,1956,21,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1954_31,Late Stuart,2,1954,1957,31,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1954_32,Late Stuart,2,1954,1957,32,5470,2687,,,,150,,,,historical,,2,,Include,Include
Late Stuart_1954_41,Late Stuart,2,1954,1958,41,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1954_42,Late Stuart,2,1954,1958,42,5470,2687,,,,135111,,,,historical,,2,,Include,Include
Late Stuart_1954_43,Late Stuart,2,1954,1958,43,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1954_51,Late Stuart,2,1954,1959,51,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1954_52,Late Stuart,2,1954,1959,52,5470,2687,,,,2704,,,,historical,,2,,Include,Include
Late Stuart_1954_53,Late Stuart,2,1954,1959,53,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1954_62,Late Stuart,2,1954,1960,62,5470,2687,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1954_63,Late Stuart,2,1954,1960,63,5470,2687,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1954_64,Late Stuart,2,1954,1960,64,5470,2687,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1954_72,Late Stuart,2,1954,1961,72,5470,2687,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_21,Late Stuart,2,1955,1957,21,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_31,Late Stuart,2,1955,1958,31,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_32,Late Stuart,2,1955,1958,32,7618,3274,,,,29,,,,historical,,2,,Include,Include
Late Stuart_1955_41,Late Stuart,2,1955,1959,41,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_42,Late Stuart,2,1955,1959,42,7618,3274,,,,50196,,,,historical,,2,,Include,Include
Late Stuart_1955_43,Late Stuart,2,1955,1959,43,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_51,Late Stuart,2,1955,1960,51,7618,3274,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1955_52,Late Stuart,2,1955,1960,52,7618,3274,,,,1120,,,,post-DBE,,2,,Include,Include
Late Stuart_1955_53,Late Stuart,2,1955,1960,53,7618,3274,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1955_62,Late Stuart,2,1955,1961,62,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_63,Late Stuart,2,1955,1961,63,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_64,Late Stuart,2,1955,1961,64,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1955_72,Late Stuart,2,1955,1962,72,7618,3274,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_21,Late Stuart,2,1956,1958,21,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_31,Late Stuart,2,1956,1959,31,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_32,Late Stuart,2,1956,1959,32,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_41,Late Stuart,2,1956,1960,41,1454,466,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1956_42,Late Stuart,2,1956,1960,42,1454,466,,,,13472,,,,post-DBE,,2,,Include,Include
Late Stuart_1956_43,Late Stuart,2,1956,1960,43,1454,466,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1956_51,Late Stuart,2,1956,1961,51,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_52,Late Stuart,2,1956,1961,52,1454,466,,,,32630,,,,historical,,2,,Include,Include
Late Stuart_1956_53,Late Stuart,2,1956,1961,53,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_62,Late Stuart,2,1956,1962,62,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_63,Late Stuart,2,1956,1962,63,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_64,Late Stuart,2,1956,1962,64,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1956_72,Late Stuart,2,1956,1963,72,1454,466,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_21,Late Stuart,2,1957,1959,21,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_31,Late Stuart,2,1957,1960,31,531130,300038,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1957_32,Late Stuart,2,1957,1960,32,531130,300038,,,,874,,,,post-DBE,,2,,Include,Include
Late Stuart_1957_41,Late Stuart,2,1957,1961,41,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_42,Late Stuart,2,1957,1961,42,531130,300038,,,,1327094,,,,historical,,2,,Include,Include
Late Stuart_1957_43,Late Stuart,2,1957,1961,43,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_51,Late Stuart,2,1957,1962,51,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_52,Late Stuart,2,1957,1962,52,531130,300038,,,,1916,,,,historical,,2,,Include,Include
Late Stuart_1957_53,Late Stuart,2,1957,1962,53,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_62,Late Stuart,2,1957,1963,62,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_63,Late Stuart,2,1957,1963,63,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_64,Late Stuart,2,1957,1963,64,531130,300038,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1957_72,Late Stuart,2,1957,1964,72,531130,300038,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1958_21,Late Stuart,2,1958,1960,21,23638,13152,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1958_31,Late Stuart,2,1958,1961,31,23638,13152,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1958_32,Late Stuart,2,1958,1961,32,23638,13152,,,,672,,,,historical,,2,,Include,Include
Late Stuart_1958_41,Late Stuart,2,1958,1962,41,23638,13152,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1958_42,Late Stuart,2,1958,1962,42,23638,13152,,,,53044,,,,historical,,2,,Include,Include
Late Stuart_1958_43,Late Stuart,2,1958,1962,43,23638,13152,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1958_51,Late Stuart,2,1958,1963,51,23638,13152,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1958_52,Late Stuart,2,1958,1963,52,23638,13152,,,,961,,,,historical,,2,,Include,Include
Late Stuart_1958_53,Late Stuart,2,1958,1963,53,23638,13152,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1958_62,Late Stuart,2,1958,1964,62,23638,13152,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1958_63,Late Stuart,2,1958,1964,63,23638,13152,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1958_64,Late Stuart,2,1958,1964,64,23638,13152,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1958_72,Late Stuart,2,1958,1965,72,23638,13152,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_21,Late Stuart,2,1959,1961,21,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_31,Late Stuart,2,1959,1962,31,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_32,Late Stuart,2,1959,1962,32,8225,4090,,,,67,,,,historical,,2,,Include,Include
Late Stuart_1959_41,Late Stuart,2,1959,1963,41,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_42,Late Stuart,2,1959,1963,42,8225,4090,,,,6092,,,,historical,,2,,Include,Include
Late Stuart_1959_43,Late Stuart,2,1959,1963,43,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_51,Late Stuart,2,1959,1964,51,8225,4090,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1959_52,Late Stuart,2,1959,1964,52,8225,4090,,,,1233,,,,post-DBE,,2,,Include,Include
Late Stuart_1959_53,Late Stuart,2,1959,1964,53,8225,4090,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1959_62,Late Stuart,2,1959,1965,62,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_63,Late Stuart,2,1959,1965,63,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_64,Late Stuart,2,1959,1965,64,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1959_72,Late Stuart,2,1959,1966,72,8225,4090,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_21,Late Stuart,2,1960,1962,21,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_31,Late Stuart,2,1960,1963,31,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_32,Late Stuart,2,1960,1963,32,2961,1307,,,,27,,,,historical,,2,,Include,Include
Late Stuart_1960_41,Late Stuart,2,1960,1964,41,2961,1307,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1960_42,Late Stuart,2,1960,1964,42,2961,1307,,,,6658,,,,post-DBE,,2,,Include,Include
Late Stuart_1960_43,Late Stuart,2,1960,1964,43,2961,1307,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1960_51,Late Stuart,2,1960,1965,51,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_52,Late Stuart,2,1960,1965,52,2961,1307,,,,2932,,,,historical,,2,,Include,Include
Late Stuart_1960_53,Late Stuart,2,1960,1965,53,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_62,Late Stuart,2,1960,1966,62,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_63,Late Stuart,2,1960,1966,63,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_64,Late Stuart,2,1960,1966,64,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1960_72,Late Stuart,2,1960,1967,72,2961,1307,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_21,Late Stuart,2,1961,1963,21,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_31,Late Stuart,2,1961,1964,31,411105,194461,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1961_32,Late Stuart,2,1961,1964,32,411105,194461,,,,143,,,,post-DBE,,2,,Include,Include
Late Stuart_1961_41,Late Stuart,2,1961,1965,41,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_42,Late Stuart,2,1961,1965,42,411105,194461,,,,770385,,,,historical,,2,,Include,Include
Late Stuart_1961_43,Late Stuart,2,1961,1965,43,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_51,Late Stuart,2,1961,1966,51,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_52,Late Stuart,2,1961,1966,52,411105,194461,,,,7535,,,,historical,,2,,Include,Include
Late Stuart_1961_53,Late Stuart,2,1961,1966,53,411105,194461,,,,415,,,,historical,,2,,Include,Include
Late Stuart_1961_62,Late Stuart,2,1961,1967,62,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_63,Late Stuart,2,1961,1967,63,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_64,Late Stuart,2,1961,1967,64,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1961_72,Late Stuart,2,1961,1968,72,411105,194461,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_21,Late Stuart,2,1962,1964,21,18689,9073,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1962_31,Late Stuart,2,1962,1965,31,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_32,Late Stuart,2,1962,1965,32,18689,9073,,,,45,,,,historical,,2,,Include,Include
Late Stuart_1962_41,Late Stuart,2,1962,1966,41,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_42,Late Stuart,2,1962,1966,42,18689,9073,,,,43107,,,,historical,,2,,Include,Include
Late Stuart_1962_43,Late Stuart,2,1962,1966,43,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_51,Late Stuart,2,1962,1967,51,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_52,Late Stuart,2,1962,1967,52,18689,9073,,,,1917,,,,historical,,2,,Include,Include
Late Stuart_1962_53,Late Stuart,2,1962,1967,53,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_62,Late Stuart,2,1962,1968,62,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_63,Late Stuart,2,1962,1968,63,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_64,Late Stuart,2,1962,1968,64,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1962_72,Late Stuart,2,1962,1969,72,18689,9073,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_21,Late Stuart,2,1963,1965,21,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_31,Late Stuart,2,1963,1966,31,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_32,Late Stuart,2,1963,1966,32,3237,1092,,,,25,,,,historical,,2,,Include,Include
Late Stuart_1963_41,Late Stuart,2,1963,1967,41,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_42,Late Stuart,2,1963,1967,42,3237,1092,,,,11911,,,,historical,,2,,Include,Include
Late Stuart_1963_43,Late Stuart,2,1963,1967,43,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_51,Late Stuart,2,1963,1968,51,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_52,Late Stuart,2,1963,1968,52,3237,1092,,,,113,,,,historical,,2,,Include,Include
Late Stuart_1963_53,Late Stuart,2,1963,1968,53,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_62,Late Stuart,2,1963,1969,62,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_63,Late Stuart,2,1963,1969,63,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_64,Late Stuart,2,1963,1969,64,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1963_72,Late Stuart,2,1963,1970,72,3237,1092,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_21,Late Stuart,2,1964,1966,21,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_31,Late Stuart,2,1964,1967,31,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_32,Late Stuart,2,1964,1967,32,1900,824,,,,60,,,,historical,,2,,Include,Include
Late Stuart_1964_41,Late Stuart,2,1964,1968,41,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_42,Late Stuart,2,1964,1968,42,1900,824,,,,1806,,,,historical,,2,,Include,Include
Late Stuart_1964_43,Late Stuart,2,1964,1968,43,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_51,Late Stuart,2,1964,1969,51,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_52,Late Stuart,2,1964,1969,52,1900,824,,,,1235,,,,historical,,2,,Include,Include
Late Stuart_1964_53,Late Stuart,2,1964,1969,53,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_62,Late Stuart,2,1964,1970,62,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_63,Late Stuart,2,1964,1970,63,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_64,Late Stuart,2,1964,1970,64,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1964_72,Late Stuart,2,1964,1971,72,1900,824,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_21,Late Stuart,2,1965,1967,21,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_31,Late Stuart,2,1965,1968,31,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_32,Late Stuart,2,1965,1968,32,214958,122786,,,,228,,,,historical,,2,,Include,Include
Late Stuart_1965_41,Late Stuart,2,1965,1969,41,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_42,Late Stuart,2,1965,1969,42,214958,122786,,,,1102448,,,,historical,,2,,Include,Include
Late Stuart_1965_43,Late Stuart,2,1965,1969,43,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_51,Late Stuart,2,1965,1970,51,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_52,Late Stuart,2,1965,1970,52,214958,122786,,,,21752,,,,historical,,2,,Include,Include
Late Stuart_1965_53,Late Stuart,2,1965,1970,53,214958,122786,,,,91,,,,historical,,2,,Include,Include
Late Stuart_1965_62,Late Stuart,2,1965,1971,62,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_63,Late Stuart,2,1965,1971,63,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_64,Late Stuart,2,1965,1971,64,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1965_72,Late Stuart,2,1965,1972,72,214958,122786,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1966_21,Late Stuart,2,1966,1968,21,9032,4164,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1966_31,Late Stuart,2,1966,1969,31,9032,4164,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1966_32,Late Stuart,2,1966,1969,32,9032,4164,,,,274,,,,historical,,2,,Include,Include
Late Stuart_1966_41,Late Stuart,2,1966,1970,41,9032,4164,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1966_42,Late Stuart,2,1966,1970,42,9032,4164,,,,71954,,,,historical,,2,,Include,Include
Late Stuart_1966_43,Late Stuart,2,1966,1970,43,9032,4164,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1966_51,Late Stuart,2,1966,1971,51,9032,4164,,,,0,,,,historical,,2,,Include,Include
